Course Code,Link,Sec,Call Number,Credits,Title,Days,Time,Faculty
COMS W4775,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4775-20223-001/,001,11029,3,Causal Inference,MW,4:10pm-5:25pm,Bareinboim  Elias
CSEE W4868,http://columbia.edu/cu/bulletin/uwb/subj/CSEE/W4868-20223-001/,001,11056,3,SYSTEM-ON-CHIP PLATFORMS,TR,11:40am-12:55,Carloni  Luca
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-001/,001,11030,3,HACKING 4 DEFENSE,T,4:10pm-6:40pm,Blaer  Paul S
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-002/,002,11031,3,PARALLEL FUNCTIONAL PROGRAMMIN,MW,5:40pm-6:55pm,Edwards  Stephen A
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-003/,003,11032,3,EMPIRICAL METHODS DATA SC,MW,11:40am-12:55,Levine  Michelle F
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-004/,004,11033,3,NEURAL NETWORKS DEEP LEARNING,MW,2:40pm-3:55pm,Zemel  Richard
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-005/,005,11034,3,LOGIC AND COMPUTABILITY,W,4:10pm-6:40pm,Pitassi  Toniann
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-006/,006,13377,3,DEEP LRNG FOR COMP VISION,TR,2:40pm-3:55pm,Belhumeur  Peter
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-007/,007,13874,3,TECH INTERVIEW PREP C++,TR,5:40pm-6:55pm,Lim  Yongwhan
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-008/,008,16691,3,COMPETITIVE PROGRAMMING,M,7:00pm-9:30pm,Lim  Yongwhan
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-010/,010,11035,3,APPLIED DEEP LEARNING,R,7:00pm-9:30pm,Gordon  Joshua B
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-011/,011,11036,3,APPLIED MACHINE LEARNING,M,7:00pm-9:30pm,Pappu  Vijay
COMS W4995,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4995-20223-012/,012,11037,3,ELEMENTS FOR DATA SCIENCE,W,7:00pm-9:30pm,Gibson  Bryan
COMS E6118,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6118-20223-001/,001,13031,3,Operating Systems II,R,10:10am-12:00p,Nieh  Jason
COMS E6156,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6156-20223-001/,001,11038,3,CLOUD COMPUTING,F,1:10pm-3:40pm,Ferguson  Donald F
COMS E6184,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6184-20223-001/,001,10996,3,ANONYMITY & PRIVACY,T,6:20pm-8:10pm,Bellovin  Steven M
CSEE E6863,http://columbia.edu/cu/bulletin/uwb/subj/CSEE/E6863-20223-001/,001,11057,3,FORMAL VERIF HW SW SYSTEM,W,6:10pm-8:00pm,Theobald  Michael
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-001/,001,11039,3,TOPICS IN ROBOTIC LEARNING,F,10:10am-12:00p,Song  Shuran
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-002/,002,11040,3,ADV WEB DESIGN STUDIO,F,2:10pm-4:00pm,Chilton  Lydia
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-004/,004,11041,3,DIALOG SYSTEMS (CONVERSNL AI),W,4:10pm-6:00pm,Yu  Zhou
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-005/,005,11042,3,REPRESENTATION LEARNING,F,10:10am-12:00p,Vondrick  Carl
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-006/,006,11043,3,ADV SPOKEN LANGUAGE PROCESSING,T,4:10pm-6:00pm,Hirschberg  Julia
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-007/,007,11044,3,TOPICS DATACENTER NETWORKING,T,12:10pm-2:00pm,Misra  Vishal
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-008/,008,11045,3,ENGR WEB3 BLOCKCHAIN APPS,T,10:10am-12:00p,Yang  Junfeng
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-009/,009,11046,3,FUND SPEECH RECOGNITION,R,7:00pm-9:30pm,Beigi  Homayoon S
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-010/,010,11047,3,FINE GRAINED COMPLEXITY,T,4:10pm-6:00pm,Alman  Josh
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-011/,011,11048,3,NATURAL LANG GEN SUMMARIZ,W,2:10pm-4:00pm,McKeown  Kathleen
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-012/,012,11049,3,PRACT DEEP LEARNING SYS PERF,F,7:00pm-9:30pm,Dube  Parijat
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-013/,013,11050,3,FAIR AND ROBUST ALGORITHM,R,2:10pm-4:00pm,Zemel  Richard
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-014/,014,11051,3,ANALYSIS OF NETWORKS & CROWDS,F,12:10pm-2:00pm,Chaintreau  Augustin
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-015/,015,11052,3,CLOUD COMPUTING & BIG DATA,R,6:10pm-8:00pm,Sahu  Sambit
COMS E6998,http://columbia.edu/cu/bulletin/uwb/subj/COMS/E6998-20223-016/,016,11053,3,MACHINE LEARNING &CLIMATE,T,4:10pm-6:00pm,Kucukelbir  Alp
